101;2435;2.0;4;1167634800
336;3163;5.0;6;1167634800
381;6504;5.0;2;1167634800
442;423;4.0;6;1167634800
927;11579;5.0;6;1167634800
1175;1889;3.0;2;1167634800
381;7424;5.0;2;1167721200
438;8049;4.0;6;1167721200
465;8373;4.0;5;1167721200
807;11095;4.0;5;1167721200
983;90;5.0;4;1167721200
989;11813;3.0;6;1167721200
1234;3823;4.0;2;1167721200
28;1114;5.0;2;1167807600
258;2564;5.0;5;1167807600
336;7003;4.0;6;1167807600
381;7423;1.0;2;1167807600
438;8045;1.0;6;1167807600
465;8372;4.0;5;1167807600
618;6723;5.0;6;1167807600
629;9807;4.0;3;1167807600
698;10325;4.0;5;1167807600
698;10326;3.0;5;1167807600
740;10638;5.0;1;1167807600
1481;14320;5.0;6;1167807600
1499;2212;4.0;4;1167807600
1499;8366;4.0;5;1167807600
1499;14446;4.0;5;1167807600
1796;15388;3.0;6;1167807600
21;954;4.0;5;1167894000
21;955;4.0;5;1167894000
28;1113;5.0;2;1167894000
46;1521;5.0;3;1167894000
136;3209;3.0;6;1167894000
192;4413;4.0;3;1167894000
258;6173;5.0;5;1167894000
336;2293;4.0;6;1167894000
365;7326;4.0;5;1167894000
465;8371;4.0;5;1167894000
472;8484;3.0;6;1167894000
472;8485;1.0;6;1167894000
509;8763;4.0;2;1167894000
628;9788;4.0;2;1167894000
685;10234;4.0;5;1167894000
1118;12703;5.0;5;1167894000
1226;5017;4.0;6;1167894000
1796;3217;4.0;6;1167894000
1798;15412;2.0;5;1167894000
1798;15413;5.0;5;1167894000
1798;3537;5.0;5;1167894000
1867;8890;4.0;4;1167894000
1867;15606;4.0;4;1167894000
200;4486;4.0;2;1167980400
248;5715;5.0;5;1167980400
279;6375;5.0;3;1167980400
461;8245;4.0;2;1167980400
628;9749;5.0;2;1167980400
1008;11936;5.0;3;1167980400
1867;3074;5.0;4;1167980400
21;944;5.0;2;1168066800
21;953;3.0;5;1168066800
325;6921;5.0;6;1168066800
333;1831;4.0;2;1168066800
336;1890;5.0;6;1168066800
461;5822;4.0;2;1168066800
465;954;4.0;5;1168066800
469;442;4.0;3;1168066800
486;8532;3.0;3;1168066800
587;9362;4.0;3;1168066800
664;10164;4.0;4;1168066800
1798;15411;5.0;5;1168066800
1822;2628;5.0;6;1168066800
2308;106;4.0;5;1168066800
200;4485;2.0;2;1168153200
248;5714;4.0;2;1168153200
336;1891;4.0;6;1168153200
428;7973;4.0;4;1168153200
499;8714;5.0;3;1168153200
806;1894;5.0;2;1168153200
890;7810;5.0;6;1168153200
2052;6580;3.0;6;1168153200
378;7402;5.0;2;1168239600
430;7991;4.0;4;1168239600
680;10219;4.0;6;1168239600
752;1475;4.0;6;1168239600
757;10763;4.0;4;1168239600
258;619;5.0;5;1168326000
365;7325;4.0;5;1168326000
424;7958;2.0;5;1168326000
442;8067;1.0;3;1168326000
465;8370;4.0;5;1168326000
499;8713;2.0;3;1168326000
594;9425;4.0;5;1168326000
1270;13387;5.0;6;1168326000
1668;14907;4.0;5;1168326000
1867;3016;5.0;4;1168326000
2284;16589;4.0;4;1168326000
101;2434;5.0;1;1168412400
248;5713;5.0;5;1168412400
400;715;4.0;2;1168412400
490;8650;5.0;3;1168412400
547;8961;4.0;6;1168412400
685;7217;5.0;3;1168412400
991;2404;4.0;6;1168412400
991;414;5.0;6;1168412400
1881;5787;5.0;2;1168412400
377;7389;5.0;5;1168498800
391;7543;4.0;5;1168498800
424;3454;5.0;3;1168498800
472;8483;2.0;6;1168498800
499;8712;5.0;3;1168498800
568;9210;5.0;5;1168498800
595;1138;4.0;4;1168498800
1270;8581;5.0;6;1168498800
1881;5751;5.0;5;1168498800
200;4484;4.0;5;1168585200
377;1006;4.0;2;1168585200
391;5026;5.0;5;1168585200
461;8163;4.0;2;1168585200
461;4821;4.0;2;1168585200
698;10323;5.0;5;1168585200
698;10324;5.0;5;1168585200
248;5710;5.0;2;1168671600
327;2404;5.0;6;1168671600
461;872;5.0;4;1168671600
472;965;4.0;6;1168671600
626;4353;4.0;6;1168671600
627;9668;5.0;4;1168671600
628;9787;5.0;2;1168671600
752;10733;4.0;4;1168671600
1881;10988;5.0;5;1168671600
135;3074;4.0;4;1168758000
136;3208;4.0;6;1168758000
333;6981;5.0;2;1168758000
465;8369;4.0;5;1168758000
607;1496;4.0;2;1168758000
754;10754;4.0;6;1168758000
931;11604;5.0;3;1168758000
1867;11821;5.0;6;1168758000
21;952;5.0;5;1168844400
135;1469;4.0;6;1168844400
248;5711;5.0;5;1168844400
378;7401;4.0;2;1168844400
628;9786;5.0;2;1168844400
46;1520;4.0;2;1168930800
101;2433;2.0;4;1168930800
192;754;5.0;2;1168930800
260;6193;4.0;6;1168930800
336;7002;3.0;6;1168930800
438;8048;2.0;6;1168930800
461;8179;5.0;2;1168930800
461;8185;5.0;2;1168930800
859;11324;5.0;4;1168930800
1796;11173;4.0;6;1168930800
338;7025;5.0;3;1169017200
373;6908;5.0;1;1169017200
758;8956;4.0;3;1169017200
819;6972;3.0;6;1169017200
1234;13254;4.0;2;1169017200
1270;10295;5.0;6;1169017200
1796;15387;3.0;6;1169017200
465;8368;4.0;5;1169103600
544;8957;3.0;2;1169103600
628;9785;4.0;2;1169103600
690;477;4.0;4;1169103600
696;10301;4.0;6;1169103600
1796;10741;4.0;6;1169103600
333;6980;4.0;2;1169190000
